name,price,brand
PUREBOOST X TR 3.0,4200,ADIDAS
LUNARSOLO,2300,NIKE
EXPLOSIVE FLASH,2100,ADIDAS
COPA TANGO 18.4,1500,ADIDAS
UA MICRO G,1890,UNDER ARMOUR
FRESH FOAM CRUSH,3000,NEW BALANCE
CF ILATION 2.0,1420,ADIDAS
POWERLIFT 3.1,2700,ADIDAS
UA SWAY,2400,UNDER ARMOUR
PUREBOOST,3100,ADIDAS
BARRICADE COURT3,1950,ADIDAS
CHARGED BANDIT3,3000,UNDER ARMOUR
NIKE AIR BELLA TR,2400,NIKE
CF EXECUTOR MID,2400,ADIDAS
SPEED TRAINER 3.0,2250,ADIDAS
BARRICADE 2018,4200,ADIDAS
RISE UP2,2400,ADIDAS
W990V4,5550,NEW BALANCE
FRESH FOAM ZANTE V4,3000,NEW BALANCE
RUNNING QUESTAR CC,2400,ADIDAS
LIGRA 5,1950,ADIDAS
BARRICADE CLASSIC BOUNCE,3000,ADIDAS
CRAZY POWER TR,2700,ADIDAS
GALAXY TRAIL,1300,ADIDAS
ADIZERO UBERSONIC2,3500,ADIDAS
UA SLINGFLEX 2,3000,UNDER ARMOUR
FLEX EXPERIENCE RN7,1950,NIKE
1400V6,3000,NEW BALANCE
AIR MAX MOTION LW SE,2700,NIKE
IN-SEASON 7,2250,NIKE
POWE PERFECT iii,3900,ADIDAS
ADI-EASE X MHAK,1350,ADIDAS
APIPOWER WEIGHTLIFT,6000,ADIDAS
RUNNING ULTABOOST,5400,ADIDAS
ORIGINALS SWIFT RUN,2550,ADIDAS
FREE TR8,3000,NIKE
AIR ZOOM PEGASUS 34,2490,NIKE
PRESTO FLY,3300,NIKE
AIR MAX MOTION LW RACER,2250,NIKE
FLEX RN 2018,2550,NIKE
METCON 4,3900,NIKE
DOWNSHIFTER 8,1800,NIKE
MCH996V3,3600,NEW BALANCE
ARISHI V1,2100,NEW BALANCE
890V6,3600,NEW BALANCE
M990V4,4950,NEW BALANCE
SUMMIT UNKNOWN,3300,NEW BALANCE
AIR ZOOM WILDHORSE4,2800,NIKE
AIR MAX SEQUENT3,3000,NIKE
FREE RN 2018,3000,NIKE
AIR ZOOM STRONG2,3300,NIKE
ADIZERO DEFIANT BOUNCE,3000,ADIDAS
ELEMENT REFRESH3,1500,ADIDAS
RCVRY V1,2100,NEW BALANCE
WL415 V1,1800,NEW BALANCE
FUELCORE NERGIZE,1950,NEW BALANCE
FRESH FOAM CRUSH V1,2400,NEW BALANCE
FRESH FOAM LAZR V1,2700,NEW BALANCE
8061 V1,2400,NEW BALANCE
NITREL,2250,NEW BALANCE
FRESH FOAM KAYMIN,1800,NEW BALANCE
MX818 V3,2250,NEW BALANCE
510 V4,1500,NEW BALANCE
CYPHER,2700,NEW BALANCE
MINIMUS 20V7,3000,NEW BALANCE
910 V4,2400,NEW BALANCE
MW813,2400,NEW BALANCE
1340V3,3900,NEW BALANCE
FRESH FOAM 1080V8,4200,NEW BALANCE
MINIMUS 10V1,3150,NEW BALANCE
840V3,3300,NEW BALANCE
WX711,1830,NEW BALANCE
FRESH FOAM VONGO V2,3750,NEW BALANCE
1260 V7,4500,NEW BALANCE
WX857V2,3450,NEW BALANCE
COAST V3,1950,NEW BALANCE
MW577,2250,NEW BALANCE
PL3000V3,2100,NEW BALANCE
MX608V4,2100,NEW BALANCE
MX623V3,2160,NEW BALANCE
MW769V1,2550,NEW BALANCE
AIR MAX KANTARA,2700,NIKE
ZOOM STRIKE,2400,NIKE
FLEX SUPREME TR6,2400,NIKE
REVOLUTION 4,1800,NIKE
TANJUN SE,1560,NIKE
AIR MAX INVIGOR ,2000,NIKE
CITY TRAINER,1450,NIKE
FLEX ESSENTAIL TR,1350,NIKE
